00.00;2022/2/17;上午 04:21:46
11.00;2022/2/17;上午 04:22:06
11.00;2022/2/17;上午 04:22:20
11.00;2022/2/17;上午 04:22:26
10.99;2022/2/17;上午 04:22:48
11.00;2022/2/17;上午 04:22:55
11.00;2022/2/17;上午 04:23:00
10.99;2022/2/17;上午 04:23:11
11.00;2022/2/17;上午 04:23:28
10.99;2022/2/17;上午 04:23:51
10.99;2022/2/17;上午 04:24:08
11.00;2022/2/17;上午 04:24:20
11.00;2022/2/17;上午 04:24:33
10.99;2022/2/17;上午 04:24:40
10.98;2022/2/17;上午 04:24:45
10.98;2022/2/17;上午 04:25:01
11.00;2022/2/17;上午 04:25:08
10.99;2022/2/17;上午 04:25:37
10.99;2022/2/17;上午 04:25:44
11.00;2022/2/17;上午 04:25:48
10.99;2022/2/17;上午 04:25:54
10.99;2022/2/17;上午 04:26:06
11.00;2022/2/17;上午 04:26:41
10.98;2022/2/17;上午 04:26:48
10.99;2022/2/17;上午 04:27:12
11.00;2022/2/17;上午 04:27:36
10.99;2022/2/17;上午 04:27:54
10.99;2022/2/17;上午 04:28:12
10.99;2022/2/17;上午 04:28:19
11.00;2022/2/17;上午 04:28:24
10.99;2022/2/17;上午 04:28:31
