0.00;2022/2/17;上午 04:39:33
7.57;2022/2/17;上午 04:39:40
7.56;2022/2/17;上午 04:39:47
7.56;2022/2/17;上午 04:39:55
7.56;2022/2/17;上午 04:40:01
7.56;2022/2/17;上午 04:40:07
7.56;2022/2/17;上午 04:40:13
7.57;2022/2/17;上午 04:40:20
7.56;2022/2/17;上午 04:40:29
7.57;2022/2/17;上午 04:40:41
7.56;2022/2/17;上午 04:40:47
7.56;2022/2/17;上午 04:40:53
7.56;2022/2/17;上午 04:40:59
7.56;2022/2/17;上午 04:41:05
7.56;2022/2/17;上午 04:41:11
7.55;2022/2/17;上午 04:41:23
7.55;2022/2/17;上午 04:41:29
7.56;2022/2/17;上午 04:41:35
7.56;2022/2/17;上午 04:41:49
7.56;2022/2/17;上午 04:41:55
7.56;2022/2/17;上午 04:42:00
7.56;2022/2/17;上午 04:42:08
7.55;2022/2/17;上午 04:42:13
7.56;2022/2/17;上午 04:42:19
7.56;2022/2/17;上午 04:42:40
7.56;2022/2/17;上午 04:42:45
7.55;2022/2/17;上午 04:42:51
7.57;2022/2/17;上午 04:42:57
7.56;2022/2/17;上午 04:43:02
7.55;2022/2/17;上午 04:43:16
7.56;2022/2/17;上午 04:43:23
